True,Predicted,Count
5,3,43
3,5,42
8,3,42
4,9,38
3,2,36
9,4,36
8,2,31
2,3,30
8,5,26
8,9,26
5,6,25
7,2,25
5,8,24
2,8,23
2,7,22
8,4,22
6,8,21
5,0,21
4,8,20
8,6,20
6,5,20
9,7,19
3,8,18
6,4,18
9,8,18
6,0,18
3,9,17
7,3,17
9,3,17
2,5,16
7,9,16
5,9,16
4,6,16
9,0,16
8,0,14
7,8,14
9,2,14
9,5,13
6,2,13
2,4,13
2,6,12
0,5,11
2,0,11
4,5,11
3,0,10
8,1,10
0,8,10
0,6,10
2,1,10
0,2,9
4,0,9
1,6,8
6,3,8
4,2,8
7,1,8
1,2,7
3,7,7
1,8,7
4,7,7
3,1,7
8,7,7
9,6,6
5,4,6
0,4,6
0,9,6
5,7,6
2,9,6
7,4,5
1,3,5
1,5,5
0,7,5
6,9,5
5,1,5
4,3,5
9,1,5
3,4,4
4,1,4
6,1,4
1,0,3
0,3,3
7,6,3
3,6,3
7,0,3
1,7,2
1,4,2
5,2,2
7,5,2
6,7,2
